station_id;available_bikes;available_ebikes;free_stands;status;updated
16007;9;9;21;Operative;2020-03-09 00:00:12
16004;0;2;68;Operative;2020-03-09 00:00:12
16005;0;1;24;Operative;2020-03-09 00:00:12
16008;1;2;30;Operative;2020-03-09 00:00:12
16009;2;1;14;Operative;2020-03-09 00:00:12
12024;8;1;26;Operative;2020-03-09 00:00:12
12026;28;3;20;Operative;2020-03-09 00:00:12
12027;8;5;3;Operative;2020-03-09 00:00:12
12020;1;6;38;Operative;2020-03-09 00:00:12
12022;16;5;12;Operative;2020-03-09 00:00:12
13516;3;7;30;Operative;2020-03-09 00:00:12
13515;12;7;41;Operative;2020-03-09 00:00:12
12028;0;5;22;Operative;2020-03-09 00:00:12
12029;38;12;4;Operative;2020-03-09 00:00:12
42004;13;11;1;Operative;2020-03-09 00:00:12
42003;11;6;13;Operative;2020-03-09 00:00:12
16022;0;2;17;Operative;2020-03-09 00:00:12
12111;8;6;13;Operative;2020-03-09 00:00:12
12112;6;3;22;Operative;2020-03-09 00:00:12
12113;17;7;21;Operative;2020-03-09 00:00:12
12114;16;5;7;Operative;2020-03-09 00:00:12
12115;17;4;12;Operative;2020-03-09 00:00:12
12119;38;10;2;Operative;2020-03-09 00:00:12
11036;25;5;28;Operative;2020-03-09 00:00:12
15028;32;10;29;Operative;2020-03-09 00:00:12
20007;7;11;32;Operative;2020-03-09 00:00:12
20006;5;6;1;Operative;2020-03-09 00:00:12
41208;2;10;10;Operative;2020-03-09 00:00:12
41209;2;5;7;Operative;2020-03-09 00:00:12
20003;5;2;14;Operative;2020-03-09 00:00:12
41202;19;4;39;Operative;2020-03-09 00:00:12
41203;3;3;14;Operative;2020-03-09 00:00:12
41204;0;4;16;Operative;2020-03-09 00:00:12
41205;0;8;12;Operative;2020-03-09 00:00:12
41206;1;0;33;Operative;2020-03-09 00:00:12
20002;3;4;8;Operative;2020-03-09 00:00:12
7001;4;4;21;Operative;2020-03-09 00:00:12
11038;34;0;11;Operative;2020-03-09 00:00:12
11039;3;3;30;Operative;2020-03-09 00:00:12
7003;10;2;45;Operative;2020-03-09 00:00:12
7002;3;7;24;Operative;2020-03-09 00:00:12
7005;26;8;18;Operative;2020-03-09 00:00:12
21401;1;2;30;Operative;2020-03-09 00:00:12
21402;0;2;25;Operative;2020-03-09 00:00:12
21403;1;4;9;Operative;2020-03-09 00:00:12
9023;2;1;30;Operative;2020-03-09 00:00:12
20008;8;9;15;Operative;2020-03-09 00:00:12
10201;1;2;21;Operative;2020-03-09 00:00:12
20043;11;2;13;Operative;2020-03-09 00:00:12
20042;1;5;34;Operative;2020-03-09 00:00:12
20040;3;6;17;Operative;2020-03-09 00:00:12
20047;5;0;43;Operative;2020-03-09 00:00:12
20045;14;3;13;Operative;2020-03-09 00:00:12
20044;1;1;26;Operative;2020-03-09 00:00:12
20048;4;4;20;Operative;2020-03-09 00:00:12
1120;6;1;20;Operative;2020-03-09 00:00:12
1122;0;0;0;Close;2020-03-09 00:00:12
15108;17;3;1;Operative;2020-03-09 00:00:12
15109;8;5;16;Operative;2020-03-09 00:00:12
15106;7;10;18;Operative;2020-03-09 00:00:12
15107;14;3;5;Operative;2020-03-09 00:00:12
15104;6;4;53;Operative;2020-03-09 00:00:12
15105;7;7;11;Operative;2020-03-09 00:00:12
15102;6;1;17;Operative;2020-03-09 00:00:12
15103;19;11;21;Operative;2020-03-09 00:00:12
1018;12;3;6;Operative;2020-03-09 00:00:12
1014;0;2;22;Operative;2020-03-09 00:00:12
1015;2;4;13;Operative;2020-03-09 00:00:12
1016;4;5;16;Operative;2020-03-09 00:00:12
1017;0;4;16;Operative;2020-03-09 00:00:12
1012;2;1;19;Operative;2020-03-09 00:00:12
1013;3;5;59;Operative;2020-03-09 00:00:12
8040;2;2;27;Operative;2020-03-09 00:00:12
31009;0;3;23;Operative;2020-03-09 00:00:12
8045;37;12;8;Operative;2020-03-09 00:00:12
8046;9;4;19;Operative;2020-03-09 00:00:12
31005;4;6;34;Operative;2020-03-09 00:00:12
8049;1;1;20;Operative;2020-03-09 00:00:12
31007;2;10;37;Operative;2020-03-09 00:00:12
31001;6;6;15;Operative;2020-03-09 00:00:12
31003;2;13;15;Operative;2020-03-09 00:00:12
11003;8;5;21;Operative;2020-03-09 00:00:12
11002;10;2;11;Operative;2020-03-09 00:00:12
15038;10;1;52;Operative;2020-03-09 00:00:12
15039;3;3;6;Operative;2020-03-09 00:00:12
11007;47;6;10;Operative;2020-03-09 00:00:12
11006;29;5;2;Operative;2020-03-09 00:00:12
11004;16;14;4;Operative;2020-03-09 00:00:12
15032;16;4;36;Operative;2020-03-09 00:00:12
15033;7;8;15;Operative;2020-03-09 00:00:12
11009;3;3;17;Operative;2020-03-09 00:00:12
15031;18;8;27;Operative;2020-03-09 00:00:12
15036;13;3;31;Operative;2020-03-09 00:00:12
15034;23;4;26;Operative;2020-03-09 00:00:12
15035;4;5;34;Operative;2020-03-09 00:00:12
47004;4;15;2;Operative;2020-03-09 00:00:12
47005;10;10;16;Operative;2020-03-09 00:00:12
47006;11;5;0;Operative;2020-03-09 00:00:12
47007;5;3;12;Operative;2020-03-09 00:00:12
47001;25;10;11;Operative;2020-03-09 00:00:12
47002;10;8;3;Operative;2020-03-09 00:00:12
47003;9;9;2;Operative;2020-03-09 00:00:12
19111;5;3;32;Operative;2020-03-09 00:00:12
19110;10;3;17;Operative;2020-03-09 00:00:12
19113;0;3;24;Operative;2020-03-09 00:00:12
19115;6;0;20;Operative;2020-03-09 00:00:12
19114;1;5;14;Operative;2020-03-09 00:00:12
19117;10;4;16;Operative;2020-03-09 00:00:12
27006;0;0;22;Work in progress;2020-03-09 00:00:12
19118;1;5;16;Operative;2020-03-09 00:00:12
27004;8;3;17;Operative;2020-03-09 00:00:12
27005;6;8;6;Operative;2020-03-09 00:00:12
27002;6;18;6;Operative;2020-03-09 00:00:12
27001;6;2;12;Operative;2020-03-09 00:00:12
16108;0;2;36;Operative;2020-03-09 00:00:12
16103;2;1;19;Operative;2020-03-09 00:00:12
16102;3;1;23;Operative;2020-03-09 00:00:12
